clip(dB20(dft(v("/VOUT" ?result "tran") 1024n 2048n 8192 "Rectangular" 1 1 )) 0 1G ) X,clip(dB20(dft(v("/VOUT" ?result "tran") 1024n 2048n 8192 "Rectangular" 1 1 )) 0 1G ) Y
379882812.4999999,-79.55234846873526
380859374.9999999,-79.97489432270474
381835937.4999999,-86.88747394479503
382812499.9999999,-49.80138601692537
383789062.4999999,-76.68270290386933
384765624.9999999,-71.91319276281898
385742187.4999999,-84.43818195962062
386718749.9999999,-75.71309173351125
387695312.4999999,-74.01608813964027
388671874.9999999,-78.70924772053364
389648437.4999999,-82.3898148397044
390624999.9999999,-64.59746826189176
391601562.4999999,-75.647461033353
392578124.9999999,-77.63727631272536
393554687.4999999,-78.89344070641961
394531249.9999999,-98.43118739103203
395507812.4999999,-87.8157651667054
396484374.9999999,-70.78925050588478
397460937.4999999,-79.64363010688028
398437499.9999999,-72.36633666232051
399414062.4999999,-79.46668391160091
400390624.9999999,-72.10372633239109
401367187.4999999,-78.55748513873284
402343749.9999999,-82.10072962623148
403320312.4999999,-78.40212950080685
404296874.9999999,-81.64009921459225
405273437.4999999,-77.45970603861394
406249999.9999999,-75.12052984319385
407226562.4999999,-80.00447962718783
408203124.9999999,-75.41626046399175
409179687.4999999,-80.50540629306444
410156249.9999999,-80.00871013815087
411132812.4999999,-82.9087473273367
412109374.9999999,-73.77475903027612
413085937.4999999,-84.33406155055097
414062499.9999999,-83.23535617863973
415039062.4999999,-82.33609525165166
416015624.9999999,-100.4490503765792
416992187.4999999,-74.13725682612188
417968749.9999999,-67.78876766068534
418945312.4999999,-78.44628055499582
419921874.9999999,-69.47014167238743
420898437.4999999,-76.75812702995746
421874999.9999999,-68.85379146484198
422851562.4999999,-82.83681919717927
423828124.9999999,-70.08686967458947
424804687.4999999,-78.1271422342744
425781249.9999999,-61.9599116364222
426757812.4999999,-94.71928950790073
427734374.9999999,-71.4314271324705
428710937.4999999,-87.13047842440859
429687499.9999999,-71.41755756900689
430664062.4999999,-79.43181415606934
431640624.9999999,-70.4323687078157
432617187.4999999,-77.44108542648702
433593749.9999999,-67.22140775652879
434570312.4999999,-78.36517292165337
435546874.9999999,-69.61732116731844
436523437.4999999,-84.34262089646273
437499999.9999999,-92.02755954575264
438476562.4999999,-75.98302690068338
439453124.9999999,-75.56434799594406
440429687.4999999,-73.38696909541474
441406249.9999999,-66.41574449644006
442382812.4999999,-88.16546749352158
443359374.9999999,-67.90562378151387
444335937.4999999,-78.76056524389936
445312499.9999999,-75.29270866486458
446289062.4999999,-78.08358787766595
447265624.9999999,-81.51230634609368
448242187.4999999,-81.43760643113022
449218749.9999999,-84.37889047353916
450195312.4999999,-73.97076637692416
451171874.9999999,-74.40593162048377
452148437.4999999,-81.79504889762018
453124999.9999999,-88.6264782765515
454101562.4999999,-82.62412532770584
455078124.9999999,-68.35146535631361
456054687.4999999,-93.33753563704862
457031249.9999999,-80.53063521246638
458007812.4999999,-75.01759206079666
458984374.9999999,-82.15404534673625
459960937.4999999,-82.37217091447742
460937499.9999999,-65.10717162533369
461914062.4999999,-74.12650772568919
462890624.9999999,-73.33448181532984
463867187.4999999,-74.97047791866503
464843749.9999999,-77.35037802757192
465820312.4999999,-73.2369274031815
466796874.9999999,-73.22983839361272
467773437.4999999,-78.3911586750003
468749999.9999999,-72.59796592718433
469726562.4999999,-80.49970631765005
470703124.9999999,-78.22466462064888
471679687.4999999,-80.44407403765456
472656249.9999999,-72.03881877623841
473632812.4999999,-84.58331676059804
474609374.9999999,-74.22775314646765
475585937.4999999,-77.20722079397133
476562499.9999999,-77.65824940442221
477539062.4999999,-75.88372282091161
478515624.9999999,-59.25727338300108
479492187.4999999,-73.11901045380284
480468749.9999999,-72.63946224457639
481445312.4999999,-79.24937515255168
482421874.9999999,-81.44343507796398
483398437.4999999,-85.98880164455278
484374999.9999999,-78.63148522221159
485351562.4999999,-81.65112492242326
486328124.9999999,-70.74505860171303
487304687.4999999,-87.80691637252329
488281249.9999999,-67.31170377637314
489257812.4999999,-79.83099114994812
490234374.9999999,-68.75876397758124
491210937.4999999,-78.32831511273936
492187499.9999999,-71.24559583165937
493164062.4999999,-85.96225633515003
494140624.9999999,-88.38714742739211
495117187.4999999,-75.07522771475416
496093749.9999999,-76.83362198921751
497070312.4999999,-75.3586054832663
498046874.9999999,-86.75117831067578
499023437.4999999,-76.09529577241909
499999999.9999999,-76.00580681972446
500976562.4999999,-76.12881635829775
501953124.9999999,-86.81812370561353
502929687.4999999,-75.45912873046008
503906249.9999999,-76.96765344667621
504882812.4999999,-75.24270121477839
505859374.9999999,-88.58829167422293
506835937.4999999,-86.19680415132561
507812499.9999999,-71.51352956873488
508789062.4999999,-78.62975663934162
509765624.9999999,-69.09370654357475
510742187.4999999,-80.19938074702669
511718749.9999999,-67.7136802247293
512695312.4999999,-88.24254600928367
513671874.9999999,-71.21405446473626
514648437.4999999,-82.15367613912287
515624999.9999999,-79.16748268556341
516601562.4999999,-86.55822913259502
517578124.9999999,-82.04661871643155
518554687.4999999,-79.88598032913622
519531249.9999999,-73.30962313502374
520507812.4999999,-73.82272168704236
521484374.9999999,-59.99456231698449
522460937.4999999,-76.65454555059094
523437499.9999999,-78.4626602635922
524414062.4999999,-78.04525894880096
525390624.9999999,-75.09934264074313
526367187.4999999,-85.48849741455589
527343749.9999999,-72.97757555264738
528320312.4999999,-81.4164309973151
529296874.9999999,-79.23059992387245
530273437.4999999,-81.53920543596465
531249999.9999999,-73.67117094328513
532226562.4999999,-79.49788633860631
533203124.9999999,-74.37029990180896
534179687.4999999,-74.41099363280726
535156249.9999999,-78.55816867362937
536132812.4999999,-76.21190379904954
537109374.9999999,-74.60958947741622
538085937.4999999,-75.43531058045667
539062499.9999999,-66.44961087635062
540039062.4999999,-83.74825249635499
541015624.9999999,-83.56384649193188
541992187.4999999,-76.46120327446182
542968749.9999999,-82.00789496048588
543945312.4999999,-94.84846288122532
544921874.9999999,-69.89634527503966
545898437.4999999,-84.2028757483653
546874999.9999999,-90.23870234678792
547851562.4999999,-83.44135036323915
548828124.9999999,-76.08599604547054
549804687.4999999,-75.6846554434909
550781249.9999999,-86.12667844184585
551757812.4999999,-83.21917769518977
552734374.9999999,-83.32782226401996
553710937.4999999,-79.93281583295922
554687499.9999999,-77.17593247249656
555664062.4999999,-80.67763236178557
556640624.9999999,-69.85664335613031
557617187.4999999,-90.15054787039857
558593749.9999999,-68.43466549401656
559570312.4999999,-75.43990876453053
560546874.9999999,-77.65127160269111
561523437.4999999,-78.1039403377869
562499999.9999999,-94.18273708644659
563476562.4999999,-86.53141037949585
564453124.9999999,-71.8403201081283
565429687.4999999,-80.62221847568162
566406249.9999999,-69.51256006920879
567382812.4999999,-79.76634549448609
568359374.9999999,-72.7917660925871
569335937.4999999,-81.82530225708531
570312499.9999999,-73.8453061646712
571289062.4999999,-89.59254359289673
572265624.9999999,-73.92754812869244
573242187.4999999,-97.24983072876611
574218749.9999999,-64.52451272488328
575195312.4999999,-80.72594105493999
576171874.9999999,-72.71999308807452
577148437.4999999,-85.50413364015863
578124999.9999999,-71.55555684657755
579101562.4999999,-79.49424930445625
580078124.9999999,-72.24063989943731
581054687.4999999,-81.2512751445219
582031249.9999999,-70.62811388471202
583007812.4999999,-77.01105478427132
583984374.9999999,-103.3565075774663
584960937.4999999,-85.27892886529013
585937499.9999999,-86.21267577229165
586914062.4999999,-87.34568779281942
587890624.9999999,-76.82108420300571
588867187.4999999,-85.98957657027653
589843749.9999999,-83.12431105378828
590820312.4999999,-83.65546642047345
591796874.9999999,-78.60107764265781
592773437.4999999,-83.22399141919492
593749999.9999999,-78.37479231650605
594726562.4999999,-80.74876520407493
595703124.9999999,-84.963952367239
596679687.4999999,-81.76062859789937
597656249.9999999,-85.49401241139357
598632812.4999999,-81.98560765459767
599609374.9999999,-75.56683550183448
600585937.4999999,-82.96471269247814
601562499.9999999,-75.89923653216897
602539062.4999999,-83.21145592313218
603515624.9999999,-74.39213882459673
604492187.4999999,-91.45354448380898
605468749.9999999,-102.1038270147497
606445312.4999999,-82.60157284679374
607421874.9999999,-81.38053997548546
608398437.4999999,-79.4257924094757
609374999.9999999,-68.41097650150471
610351562.4999999,-86.23844926771426
611328124.9999999,-82.59321114655963
612304687.4999999,-77.93529488005916
613281249.9999999,-79.66762532888492
614257812.4999999,-88.42814828850879
615234374.9999999,-75.93850565509838
616210937.4999999,-80.74344400546789
617187499.9999999,-53.89754104625742
618164062.4999999,-91.01929640037056
619140624.9999999,-84.14210492781569
620117187.4999999,-83.75502974353788
621093749.9999999,-82.89039794144453
622070312.4999999,-93.80955873120756
623046874.9999999,-103.5628137244324
624023437.4999999,-92.21416462094591
624999999.9999999,-71.19843354056427
625976562.4999999,-79.25770107609571
626953124.9999999,-64.88058000621621
