dB20(dft(v("/VOUT" ?result "tran") 1024n 2048n 1024 "Rectangular" 1 1 )) X,dB20(dft(v("/VOUT" ?result "tran") 1024n 2048n 1024 "Rectangular" 1 1 )) Y
135742187.5,-84.53044222911298
136718750,-70.83674183404115
137695312.5,-73.2857849284475
138671875,-56.34656320957551
139648437.5,-72.86072941360689
140625000,-76.19569690125192
141601562.5,-81.98286709432922
142578125,-67.39048131931247
143554687.5,-78.53501603409781
144531250,-81.07496758242215
145507812.5,-70.93572830089275
146484375,-69.05439870921062
147460937.5,-79.52939615198513
148437500,-60.51464753248843
149414062.5,-73.13714926428382
150390625,-67.80890799066559
151367187.5,-83.84261137008123
152343750,-71.6797551915938
153320312.5,-71.48113595340745
154296875,-82.87692521533754
155273437.5,-71.15514776056108
156250000,-70.96076341744036
157226562.5,-82.65674690327076
158203125,-74.70336624685697
159179687.5,-91.90600899093052
160156250,-71.18615950123828
161132812.5,-91.9871682186152
162109375,-79.04329122745875
163085937.5,-81.32615240755968
164062500,-63.44179867784006
165039062.5,-76.12105305101093
166015625,-68.80878046445596
166992187.5,-87.02582745036284
167968750,-77.9674807881775
168945312.5,-76.72068621075876
169921875,-67.91320342538101
170898437.5,-71.5671739115957
171875000,-70.03947318360977
172851562.5,-81.72840284161254
173828125,-66.72932532865119
174804687.5,-74.99588789524933
175781250,-77.17239221388822
176757812.5,-79.94798652183188
177734375,-65.20444622139343
178710937.5,-73.11156585741364
179687500,-74.27089510611573
180664062.5,-74.13748676630154
181640625,-64.58776201952297
182617187.5,-81.94360169927577
183593750,-65.14222796587717
184570312.5,-72.86477335343731
185546875,-67.07842980928854
186523437.5,-73.33728704371839
187500000,-76.83343755823212
188476562.5,-78.07659717862242
189453125,-69.50852347405728
190429687.5,-77.58442709534636
191406250,-52.29060175077894
192382812.5,-79.95574235858054
193359375,-65.75756142719274
194335937.5,-91.35564610379848
195312500,-69.01541868517927
196289062.5,-70.92615413526512
197265625,-80.91851469446058
198242187.5,-79.79451149599144
199218750,-69.05113939832572
200195312.5,-79.57348554925892
201171875,-66.27653546810485
202148437.5,-72.66406788474133
203125000,-71.27607516386743
204101562.5,-71.93455678408579
205078125,-79.32267845017834
206054687.5,-75.44115959788768
207031250,-74.8065998712223
208007812.5,-76.22584589927503
208984375,-74.05232053330707
209960937.5,-84.08967702259156
210937500,-72.80474112467746
211914062.5,-80.25324494905578
212890625,-78.63151197853429
213867187.5,-86.17574328778488
214843750,-65.76393170346419
215820312.5,-90.38291118050752
216796875,-66.43151678806841
217773437.5,-76.07106171718821
218750000,-63.98065044022326
219726562.5,-72.9076229054521
220703125,-65.92170602112192
221679687.5,-83.24156828096986
222656250,-74.11140939725146
223632812.5,-72.09957714804199
224609375,-77.08326727379843
225585937.5,-77.54808055062117
226562500,-62.67278917097067
227539062.5,-74.59921292552266
228515625,-74.13006655289239
229492187.5,-78.20981540710135
230468750,-67.44054466799767
231445312.5,-78.71884841107014
232421875,-79.00117578042421
233398437.5,-75.15826901482136
234375000,-51.81513873715679
235351562.5,-71.89113574534953
236328125,-73.67661865282955
237304687.5,-72.59526397609602
238281250,-67.85879197974599
239257812.5,-78.25328377170457
240234375,-76.17768960958401
241210937.5,-73.18274444344036
242187500,-68.46756686754114
243164062.5,-77.10473056894591
244140625,-63.74177809364501
245117187.5,-79.18258022589305
246093750,-78.94614355830761
247070312.5,-75.12387953352824
248046875,-81.94519867031356
249023437.5,-71.06963989022046
250000000,-65.6370699565888
250976562.5,-79.43077037836257
251953125,-70.72969061175874
252929687.5,-72.74979126691839
253906250,-68.55876783499804
254882812.5,-87.50042121532637
255859375,-74.93007984919296
256835937.5,-88.31449348516961
257812500,-78.87632087169774
258789062.5,-72.62011149210323
259765625,-69.93768908884758
260742187.5,-73.97285223827696
261718750,-74.56595384855507
262695312.5,-74.24519041280455
263671875,-76.26048097883071
264648437.5,-72.74221145709798
265625000,-70.32687964067338
266601562.5,-90.2993013464955
267578125,-74.96794421372412
268554687.4999999,-81.07553501255066
269531249.9999999,-88.95489903913982
270507812.4999999,-80.80009321809753
271484374.9999999,-67.65794110244472
272460937.4999999,-75.82247550371829
273437499.9999999,-81.74210929606004
274414062.4999999,-71.70019937626807
275390624.9999999,-72.92992955427617
276367187.4999999,-72.59982745839572
277343749.9999999,-67.05092489077579
278320312.4999999,-77.34634426837435
279296874.9999999,-77.6020596633294
280273437.4999999,-74.4420292201786
281249999.9999999,-71.11550077495478
282226562.4999999,-81.95792939217105
283203124.9999999,-67.53603112166368
284179687.4999999,-73.71123277434521
285156249.9999999,-74.23448139744991
286132812.4999999,-81.10092275069663
287109374.9999999,-54.89901675995557
288085937.4999999,-73.49861270829989
289062499.9999999,-70.92525228653386
290039062.4999999,-71.57990060391589
291015624.9999999,-66.0470980059366
291992187.4999999,-72.77753532500029
292968749.9999999,-65.73023527162954
293945312.4999999,-76.75960693773449
294921874.9999999,-71.82652176299094
295898437.4999999,-74.50169189788788
296874999.9999999,-66.38350628427769
297851562.4999999,-80.14299408666845
298828124.9999999,-69.43797062771065
299804687.4999999,-74.18847820116683
300781249.9999999,-78.20486725742802
301757812.4999999,-79.60146399128789
302734374.9999999,-71.39363892499665
303710937.4999999,-72.43859460828889
304687499.9999999,-65.22491428904465
305664062.4999999,-71.80716215959774
306640624.9999999,-75.55004355214878
307617187.4999999,-70.20821140798664
308593749.9999999,-74.30514146467517
309570312.4999999,-84.3330350153792
310546874.9999999,-82.52670648075889
311523437.4999999,-74.40598890600992
312499999.9999999,-78.25090821144735
313476562.4999999,-86.16274878424224
314453124.9999999,-65.13284406155509
315429687.4999999,-74.43179879342759
316406249.9999999,-71.91953492879382
317382812.4999999,-77.39194353195207
318359374.9999999,-72.00310301019854
319335937.4999999,-71.84802910637138
320312499.9999999,-82.18884460435709
321289062.4999999,-74.09446178601183
322265624.9999999,-71.27642758113124
323242187.4999999,-76.23195441697725
324218749.9999999,-86.47085429744715
325195312.4999999,-79.62708378105144
326171874.9999999,-69.0109248447248
327148437.4999999,-80.69636550570816
328124999.9999999,-72.54136005860869
