0,,0,0
1,,-0.031,-0.031
2,,-0.063,-0.094
3,,-0.031,-0.125
4,,-0.031,-0.156
5,,-0.031,-0.187
6,,0.472,0.285
7,,-0.126,0.159
8,,0.126,0.285
9,,-0.252,0.033
10,,-0.094,-0.061
11,,0,-0.061
12,,-0.063,-0.124
13,,-0.063,-0.187
14,,-0.063,-0.25
15,,0.378,0.128
16,,0.157,0.285
17,,-0.094,0.191
18,,-0.126,0.065
19,,-0.063,0.002
20,,-0.094,-0.092
21,,0.094,0.002
22,,-0.094,-0.092
23,,-0.063,-0.155
24,,0.063,-0.092
25,,-0.22,-0.312
26,,-0.22,-0.532
27,,-0.22,-0.752
28,,0.252,-0.5
29,,-0.157,-0.657
30,,-0.031,-0.688
31,,-0.126,-0.814
32,,0.283,-0.531
33,,0.094,-0.437
34,,0.126,-0.311
35,,0.441,0.13
36,,0.283,0.413
37,,0.031,0.444
38,,0.094,0.538
39,,-0.315,0.223
40,,0.252,0.475
41,,0,0.475
42,,0.157,0.632
43,,0.252,0.884
44,,0.157,1.041
45,,-0.063,0.978
46,,0.031,1.009
47,,-0.378,0.631
48,,0.189,0.82
49,,0.031,0.851
50,,-0.094,0.757
51,,0.189,0.946
52,,0.126,1.072
53,,-0.063,1.009
54,,0,1.009
55,,-0.315,0.694
56,,-0.094,0.6
57,,0.252,0.852
58,,0.094,0.946
59,,0.157,1.103
60,,-0.094,1.009
61,,-0.094,0.915
62,,0,0.915
63,,0,0.915
