Values ,Y
0.4488,3
0.4488,132
0.4488,17
0.4488,137
0.4488,34
0.4488,66
0.4488,183
0.4488,77
0.4488,120
0.4488,165
0.4488,143
0.4488,133
0.4488,63
0.4488,173
0.4488,123
0.4488,39
0.4488,201
0.4488,114
0.4488,153
0.4492,111
0.4492,110
0.4492,70
0.4492,127
0.4493,108
0.4493,150
0.4493,29
0.4493,18
0.4493,154
0.4493,90
0.4493,117
0.4493,62
0.4493,196
0.4493,9
0.4493,14
0.4493,93
0.4493,33
0.4493,60
0.4493,41
0.4493,139
0.4493,105
0.4493,140
0.4493,210
0.4493,55
0.4493,107
0.4493,174
0.4493,170
0.4493,48
0.4493,160
0.4497,5
0.4497,76
0.4497,157
0.4497,216
0.4498,69
0.4498,51
0.4498,115
0.4498,103
0.4498,37
0.4498,159
0.4498,79
0.4498,11
0.4498,72
0.4498,136
0.4498,124
0.4498,54
0.4498,4
0.4498,86
0.4502,81
0.4502,83
0.4502,181
0.4502,44
0.4502,36
0.4502,144
0.4502,177
0.4502,204
0.4502,122
0.4502,147
0.4502,207
0.4502,27
0.4502,149
0.4502,95
0.4502,74
0.4502,15
0.4503,97
0.4503,53
0.4503,42
0.4507,137
0.4507,98
0.4507,97
0.4507,170
0.4507,86
0.4507,43
0.4507,47
0.4507,56
0.4507,180
0.4507,166
0.4507,120
0.4507,60
0.4507,113
0.4507,118
0.4507,89
0.4507,141
0.4507,91
0.4507,79
0.4507,9
0.4507,57
0.4508,189
0.4508,115
0.4508,178
0.4512,73
0.4512,194
0.4512,83
0.4512,26
0.4512,116
0.4512,153
0.4512,150
0.4512,107
0.4512,132
0.4512,101
0.4512,133
0.4512,162
0.4512,75
0.4513,61
0.4514,144
0.4517,74
0.4517,22
0.4517,46
0.4517,90
0.4517,151
0.4517,32
0.4517,58
0.4517,95
0.4517,69
0.4517,148
0.4517,5
0.4517,145
0.4517,143
0.4517,173
0.4517,131
0.4518,193
0.4518,3
0.4522,192
0.4522,134
0.4522,169
0.4522,54
0.4522,14
0.4522,102
0.4522,15
0.4522,165
0.4522,157
0.4522,154
0.4522,125
0.4522,93
0.4522,129
0.4522,188
0.4522,111
0.4522,152
0.4522,146
0.4522,17
0.4523,77
0.4523,66
0.4523,87
0.4526,94
0.4527,179
0.4527,1
0.4527,121
0.4527,49
0.4527,29
0.4527,187
0.4527,92
0.4527,126
0.4527,112
0.4527,168
0.4527,158
0.4527,55
0.4527,138
0.4527,80
0.4527,104
0.4527,147
0.4527,128
0.4527,30
0.4527,24
0.4527,59
0.4527,176
0.4527,161
0.4528,130
0.4532,13
0.4532,174
0.4532,36
0.4532,119
0.4532,123
0.4532,109
0.4532,160
0.4532,105
0.4532,108
0.4532,186
0.4532,38
0.4532,6
0.4532,10
0.4532,34
0.4532,164
0.4532,171
0.4532,64
0.4537,135
0.4537,136
0.4537,82
0.4537,50
0.4537,48
0.4537,84
0.4537,71
0.4537,156
0.4537,39
0.4537,4
0.4537,8
0.4537,16
0.4537,85
0.4537,99
0.4537,110
0.4538,25
0.4542,23
0.4542,114
0.4542,68
0.4542,182
0.4542,53
0.4542,183
0.4542,122
0.4542,149
0.4542,155
0.4542,142
0.4542,175
0.4542,51
0.4542,67
0.4543,172
0.4547,42
0.4547,88
0.4547,63
0.4547,181
0.4547,12
0.4547,72
0.4547,106
0.4547,127
0.4547,184
0.4547,19
0.4547,185
0.4547,139
0.4547,45
0.4547,117
0.4547,33
0.4548,37
0.4552,65
0.4552,52
0.4552,124
0.4552,18
0.4552,159
0.4552,44
0.4552,81
0.4552,20
0.4552,62
0.4552,21
0.4552,7
0.4552,11
0.4552,177
0.4552,190
0.4552,35
0.4552,40
0.4552,31
0.4552,96
0.4552,140
0.4552,28
0.4553,167
0.4553,100
0.4557,78
0.4557,76
0.4557,163
0.4557,191
0.4557,41
0.4557,70
0.4557,27
0.4557,103
0.4557,2
0.4562,73
0.4562,95
0.4562,54
0.4562,87
0.4562,137
0.4562,111
0.4562,124
0.4562,82
0.4562,43
0.4562,10
0.4562,64
0.4562,125
0.4562,40
0.4562,57
0.4562,35
0.4567,39
0.4567,45
0.4567,12
0.4567,133
0.4567,138
0.4567,120
0.4567,144
0.4567,19
0.4567,135
